Field_id	Longitude	Latitude	WDRVI	DOY	Slope	Aspect	Curvature	Pct_clay	Pct_sand	Pct_silt	LAI	Slope_x_aspect	lat_int	lon_int	GDD	Region_id
1.0	-96.078321571	41.621967714	0.229092789598	202.0	0.327359058661	-36.71463817	-0.075194	0.15	0.2	0.65	2.8587391145956453	-6.873092092701415	42.0	-96.0	784.25	4.0
2.0	-93.6619424592	43.2245826472	0.209605288742	227.0	0.789032756012	-36.41397837599999	-0.198942	0.35	0.35	0.3	2.755338673026058	-18.925155506670762	43.0	-94.0	923.6	3.0
3.0	-95.2750625126	40.9003245751	0.399488968529	218.0	0.344356068826	94.881335221	0.203047	0.35	0.1	0.55	3.963729846191611	23.01302014274793	41.0	-95.0	985.1500000000001	4.0
4.0	-93.75093257854999	41.8456811416	0.307251358315	195.0	1.4613326073300001	68.31592450950001	0.9183684999999999	0.2	0.4	0.4	3.314603690682489	84.13920143061432	42.0	-94.0	670.75	6.0
5.0	-95.6398346295	41.621981705	0.380987925166	218.0	6.82859886249	-3.9202438725000093	-1.354452	0.15	0.2	0.65	3.8214684876224982	-20.160279547023787	42.0	-96.0	947.7500000000001	4.0
6.0	-95.3955613696	42.4322119773	0.291544913774	218.0	2.7691344015199997	11.360913948000004	0.503414	0.35	0.1	0.55	3.217114371678721	23.97893901963534	42.0	-95.0	930.9500000000003	2.0
7.0	-95.60773129	40.9350910855	0.354208034214	202.0	3.63227154059	-55.730565481	-1.504533	0.15	0.2	0.65	3.6270785230972655	-134.32823143040812	41.0	-96.0	879.5999999999998	4.0
8.0	-96.0921949294	42.286581382	0.441309555496	218.0	0.48540346098	-29.67083355599999	-0.14778	0.15	0.2	0.65	4.313327469579079	-9.345445407923616	42.0	-96.0	947.7500000000001	2.0
9.0	-94.3991043998	43.4777713699	0.355949629252	202.0	1.584696745035	-12.359008185999997	-0.22252000000049998	0.2	0.4	0.4	3.6393356405337682	-13.743144843750763	43.0	-94.0	712.9000000000002	3.0
10.0	-93.7582487159	42.9336893994	0.02837025999735	195.0	0.7162361494814999	11.346086697999993	-0.04630749999955	0.35	0.35	0.3	1.9365551293441916	4.192346373712068	43.0	-94.0	614.2500000000002	3.0
11.0	-94.194468104	42.1841098064	0.187334034771	243.0	0.810853267374	11.699207048999995	0.0212260000008	0.35	0.35	0.4	2.641476188611114	6.835078218097695	42.0	-94.0	1234.2	1.0
12.0	-95.6659115939	41.0198827503	0.43982507732450005	202.0	1.5848841035399999	-5.704783652499998	-0.0883074999997	0.35	0.1	0.55	4.30017576893207	-5.565092436107431	41.0	-96.0	879.5999999999998	4.0
13.0	-95.88579053	42.7316487358	0.0982004636625	218.0	2.6138356748050002	-4.096880872	-0.399936	0.35	0.1	0.55	2.2255487958695968	-6.892303299173513	43.0	-96.0	859.5999999999995	2.0
14.0	-95.9491416122	42.4489860601	0.3639937928465	234.0	4.655501259855	60.971026611499994	1.2672935	0.15	0.2	0.65	3.696623094220584	220.15937326820023	42.0	-96.0	1116.7500000000005	2.0
15.0	-95.4679127643	41.185009833	0.401896754448	202.0	5.18382428006	-45.0221796605	-2.0215645	0.35	0.1	0.55	3.9827627958637324	-128.989817486485	41.0	-95.0	816.6000000000001	4.0
16.0	-96.3938311662	43.3937595517	0.332091868405	241.0	1.48454972066	78.34558181900002	-0.05827	0.35	0.1	0.55	3.4757411906780415	92.48233098406898	43.0	-96.0	1124.6999999999996	7.0
